Name,Carlos Alcaraz,Daniil Medvedev,Novak Djokovic,Casper Ruud,Stefanos Tsitsipas,Holger Rune,Andrey Rublev,Taylor Fritz,Jannik Sinner,Felix Auger-Aliassime,Karen Khachanov,Frances Tiafoe,Cameron Norrie,Hubert Hurkacz,Rafael Nadal,Borna Coric,Tommy Paul,Lorenzo Musetti,Alex de Minaur,Matteo Berrettini,Pablo Carreno Busta,Marin Cilic,Francisco Cerundolo,Roberto Bautista Agut,Daniel Evans,Nick Kyrgios,Alexander Zverev,Jan-Lennard Struff,Grigor Dimitrov,Sebastian Korda
Carlos Alcaraz,,9.790,14.920,2.902,5.166,9.483,2.048,1.936,7.466,4.493,0.661,3.748,3.045,0.479,13.058,0.479,4.127,5.832,1.079,3.042,1.029,4.676,1.080,1.749,0.269,0.120,5.445,2.042,0.819,3.692
Daniil Medvedev,9.790,,13.611,3.205,7.000,6.234,8.206,3.169,3.017,3.250,6.024,3.472,3.468,4.981,10.646,5.334,2.429,0.480,3.706,3.999,3.180,4.199,1.470,3.190,0.479,5.814,8.238,2.280,3.876,4.271
Novak Djokovic,14.920,13.611,,1.696,5.123,6.839,4.382,4.699,2.122,4.851,2.445,0.501,0.755,1.542,15.514,-0.001,0.502,2.827,0.413,1.323,3.000,10.139,0.120,4.430,1.470,2.574,6.163,2.970,3.447,0.479
Casper Ruud,2.902,3.205,1.696,,7.985,5.867,7.716,5.678,3.312,4.731,2.818,3.396,2.400,6.187,1.985,2.807,4.282,2.443,3.000,6.713,4.048,0.996,7.022,2.394,0.422,4.993,6.375,0.405,4.672,2.533
Stefanos Tsitsipas,5.166,7.000,5.123,7.985,,4.405,8.064,6.310,7.130,6.620,5.440,5.383,6.293,4.301,2.861,5.770,2.512,3.347,4.500,2.472,0.535,3.498,3.233,0.408,0.029,3.356,5.013,3.426,2.810,2.019
Holger Rune,9.483,6.234,6.839,5.867,4.405,,5.008,3.228,5.496,7.155,3.003,2.186,3.340,1.715,1.816,0.837,0.788,2.531,2.852,4.249,1.179,0.680,1.295,1.915,0.270,0.504,1.006,0.270,0.743,2.003
Andrey Rublev,2.048,8.206,4.382,7.716,8.064,5.008,,8.186,6.457,4.499,8.258,7.340,6.413,6.919,2.493,2.941,5.034,1.335,3.660,5.361,1.883,2.977,3.067,4.116,2.763,3.782,5.012,2.620,4.470,1.998
Taylor Fritz,1.936,3.169,4.699,5.678,6.310,3.228,8.186,,6.385,3.442,4.719,8.388,8.025,5.803,4.259,3.052,7.288,1.697,5.430,2.971,1.994,2.234,2.912,3.327,2.021,2.493,6.268,3.118,4.258,2.818
Jannik Sinner,7.466,3.017,2.122,3.312,7.130,5.496,6.457,6.385,,3.946,4.207,5.160,2.742,6.450,1.298,1.878,4.192,3.999,1.469,1.839,2.883,0.269,4.827,1.079,0.120,1.526,2.279,0.120,3.608,5.707
Felix Auger-Aliassime,4.493,3.250,4.851,4.731,6.620,7.155,4.499,3.442,3.946,,4.382,3.839,4.715,5.269,4.510,3.166,1.079,4.930,3.473,3.125,0.929,1.550,3.951,3.570,1.802,0.479,3.280,4.028,0.199,4.772
Karen Khachanov,0.661,6.024,2.445,2.818,5.440,3.003,8.258,4.719,4.207,4.382,,4.522,8.544,5.132,3.663,7.426,3.205,1.048,4.468,3.953,5.017,3.858,2.152,3.498,0.810,6.686,5.824,1.709,1.640,4.904
Frances Tiafoe,3.748,3.472,0.501,3.396,5.383,2.186,7.340,8.388,5.160,3.839,4.522,,7.273,7.536,5.234,5.301,7.574,3.801,5.358,5.944,1.693,0.461,3.210,0.925,2.797,3.118,5.135,3.118,3.030,4.347
Cameron Norrie,3.045,3.468,0.755,2.400,6.293,3.340,6.413,8.025,2.742,4.715,8.544,7.273,,4.826,4.026,7.120,5.778,2.542,4.468,3.947,2.490,3.596,3.919,1.241,0.803,6.341,3.317,3.478,3.406,3.067
Hubert Hurkacz,0.479,4.981,1.542,6.187,4.301,1.715,6.919,5.803,6.450,5.269,5.132,7.536,4.826,,1.840,7.001,8.071,4.538,6.418,5.153,4.304,0.551,2.700,2.386,3.696,4.523,3.991,0.270,1.468,5.092
Rafael Nadal,13.058,10.646,15.514,1.985,2.861,1.816,2.493,4.259,1.298,4.510,3.663,5.234,4.026,1.840,,4.419,5.040,3.035,2.849,3.340,3.883,10.143,1.139,3.635,1.596,3.242,6.499,1.079,3.980,1.487
Borna Coric,0.479,5.334,-0.001,2.807,5.770,0.837,2.941,3.052,1.878,3.166,7.426,5.301,7.120,7.001,4.419,,5.851,2.799,3.920,4.610,5.214,2.387,2.778,3.889,3.775,5.992,6.930,2.770,1.413,1.807
Tommy Paul,4.127,2.429,0.502,4.282,2.512,0.788,5.034,7.288,4.192,1.079,3.205,7.574,5.778,8.071,5.040,5.851,,3.043,3.521,7.764,3.041,4.217,2.828,3.536,4.824,2.943,3.880,0.269,4.363,4.357
Lorenzo Musetti,5.832,0.480,2.827,2.443,3.347,2.531,1.335,1.697,3.999,4.930,1.048,3.801,2.542,4.538,3.035,2.799,3.043,,2.570,3.444,2.052,5.384,4.854,1.440,1.781,0.987,1.424,0.119,0.707,6.411
Alex de Minaur,1.079,3.706,0.413,3.000,4.500,2.852,3.660,5.430,1.469,3.473,4.468,5.358,4.468,6.418,2.849,3.920,3.521,2.570,,5.662,1.320,4.459,4.350,3.302,0.030,2.787,3.670,4.028,3.118,4.918
Matteo Berrettini,3.042,3.999,1.323,6.713,2.472,4.249,5.361,2.971,1.839,3.125,3.953,5.944,3.947,5.153,3.340,4.610,7.764,3.444,5.662,,7.090,2.200,3.896,5.020,2.656,-1.000,5.165,-1.000,4.711,-1.000
